datetime,latitude,longitude,depth
2020-12-28 23:48:45.600000,40.7892,27.52,15.4
2020-12-29 13:38:38.000000,40.7842,27.498,13.9
2020-12-29 19:50:13.000000,40.4235,28.946,6.5
2020-12-29 20:16:37.200000,40.4227,28.95,6.0
2020-12-29 21:41:53.000000,40.4337,28.9477,5.0
2020-12-30 08:15:16.000000,40.4928,29.2708,0.0
2020-12-31 01:33:39.000000,40.7447,27.4263,15.6
2020-02-01 10:35:33.300000,40.8575,28.168,21.1
2020-02-01 13:48:21.100000,40.6423,27.59,4.4
2020-02-02 00:57:43.300000,40.8358,28.1837,14.4
2020-02-03 16:52:26.900000,40.8495,28.1927,12.3
2020-02-04 06:27:09.200000,40.322,28.4157,9.7
2020-02-04 08:39:24.300000,40.5842,28.9672,7.2
2020-02-05 13:24:23.800000,40.7775,27.7668,19.0
2020-02-08 05:17:11.900000,40.7993,28.9433,17.5
2020-02-08 15:22:21.200000,40.8563,28.264,15.1
2020-02-09 22:43:51.700000,40.8425,28.2908,10.6
2020-02-11 22:07:24.100000,40.7202,28.654,9.2
2020-02-12 14:35:06.100000,40.4887,29.2578,0.0
2020-02-13 23:47:13.000000,40.829,28.0258,18.0
2020-02-14 02:50:54.900000,40.806,28.0378,12.6
2020-02-14 03:26:39.100000,40.841,28.0015,12.5
2020-02-14 11:40:26.900000,40.8372,28.8727,13.1
2020-02-21 10:19:13.600000,40.6,28.9685,7.8
2020-02-21 13:43:38.100000,40.9065,28.3113,3.6
2020-02-21 23:54:19.400000,40.3812,28.6892,7.2
2020-02-22 01:25:56.500000,40.7787,27.437,12.0
2020-02-22 07:07:48.900000,40.5898,27.7138,4.4
2020-02-22 21:17:32.900000,40.6063,27.4333,15.3
2020-02-23 23:16:23.200000,40.7895,27.4418,10.6
2020-02-24 05:31:01.500000,40.7805,27.83,19.5
2020-02-24 18:06:56.200000,40.8802,28.2172,12.7
2020-02-25 20:31:44.600000,40.7472,29.0843,12.4
2020-02-26 01:26:35.700000,40.4648,27.959,15.3
2020-02-26 12:21:57.000000,40.3943,28.9043,6.5
2020-02-27 09:00:07.100000,40.4058,28.9152,5.4
2020-02-27 12:59:18.900000,40.4222,28.9028,6.3
2020-02-28 05:23:45.500000,40.8258,28.0233,16.3
